description,occupation
"Obs! För att söka arbetet måste du prata flytande danska eller flytande engelska (och alltså kunna utföra ditt arbete obehindrat på ett annat språk än svenska) men även kunna göra dig förstådd på svenska för att samverka med kollegor. Tjänsten är tänkt på 100% men även 75% kan vara aktuellt beroende på person. Erfarenhet är givetvis meriterande.
Vill du leva det livet du önskar och ha ett arbete som möjliggör att du själv bestämmer över din lön?
Vill du ha möjligheten att kunna arbeta digitalt över hela hela världen eller kanske egentligen bara hemifrån?
Vill du vara en framgångsrik mötesbokare som vid fast anställning kan börja bestämma dina egna arbetstider?
Då har du chansen att tillhöra Troffeagruppens team som vi påbörjar att bygga upp under 2022. Du får möjligheten att vara med när ett nytt företag byggs upp från grunden tillsammans med en stark ledning med stora mål och som tillsammans har över 50 års erfarenhet av branschen. Utvecklingsmöjligheterna kommer vara stora för dem som visar framfötterna.
Du ska älska sälj och/ eller kundrelationer och gör allt som krävs för att nå dina och företagets uppsatta mål. Du ska ha ett tydligt varför och varje dag planera för att nå dina delmål. Att studera sälj och mötesbokning ingår i dina arbetsuppgifter för att du ska kunna utvecklas inom ditt arbete. 
Självklart får du även daglig coachning för att ge dig dem bästa verktygen för att lyckas.
Vi söker efter 1 mötesbokare som brinner för personlig utveckling och därmed är prestigelös gällande vägen dit. Det är alltid som tyngst i början och du behöver ha ett driv som heter duga för att lyckas. Arbetet går ut på att ringa kalla samtal till företag i Danmark och för att lyckas krävs det att du har disciplin och tålamod att ringa minst 150 samtal om dagen. Långt i från alla svarar därför är det viktigt att hålla tempo och kunna ringa så många som möjligt för att få chansen att prata med fler. Ju fler du pratar med - desto fler bokar du.
Som mötesbokare säljer du ingenting utan mötet du bokar in går ut på att kunden skall få veta mer om våra samarbetspartner inom bland annat E-commerce. När mötet därefter sker är det inte du som genomför det - det gör våra partners.
Du behöver inte redan vara en stjärna på mötesbokning och försäljning för att lyckas med arbetet men du måste ha en vilja av stål och bestämt dig för att ge allt. Vi har lång erfarenhet av att lära upp nya förmågor och kan lära dig allt vi kan - men du behöver själv bidra med glöden!
Du ska vara social, lösningsfokuserad, påhittig, pratglad, positiv samt bestämd att ditt och företagets gemensamma mål ska nås. Du är ingen som ger upp enkelt.
Lön: 100% provisionsbaserad lön. 500 kronor för varje genomfört möte (danska uppdrag) samt 500-2000 kronor för alla svenska uppdrag. Spannet beror på vilket uppdrag du själv väljer att sitta på och du kan förutom ditt danska uppdrag även välja ett svenskt för att tjäna ännu mer.
Obs! Det innebär att du inte har någon lön per timme eller fast månadslön utan att du får betalt för alla de genomförda möten du bokar in. Ju mer du bokar in desto mer pengar tjänar du.
Förmåner under provanställningen
Samtliga anställda får 1 styck 30 minuters massage via Helsokliniken per månad
samt 15% på Helsoklinikens hela sortiment https://helsokliniken.bokadirekt.se/
Subventionerad personlig tränare (450 kr per timme)
1 extra ledig dag per månad, så kallad återhämtningsdag för att stärka möjligheten till extra återhämtning
Möjlighet till att avsluta dagen tidigare (från 15.00) vid uppnådda mål (från månad 3)
Extra bonus



Förmåner vid fast anställning
Samtliga anställda får 1 styck 60 minuters massage via Helsokliniken per månad
samt 20% på Helsoklinikens hela sortiment https://helsokliniken.bokadirekt.se/
Subventionerad personlig tränare & kostrådgivare (450 kronor per timme)
Totalt 10 stycken så kallade återhämtningsdagar per år för att stärka möjligheten till extra återhämtning
Möjlighet till att sluta tidigare (från klockan 15.00) vid uppnådda mål
Extra bonus
Resor utomlands
Möjlighet till 100% distansarbete



Vi har inte ännu kollektivavtal men inväntar dialog med fackförbundet Unionen vilket vi hoppas skall bli klart inom kort.
Stämmer detta in på dig? Sök då dig till oss genom att skicka in följande:
Ditt CV
Ett personligt brev där du berättar varför du söker arbetet hos oss.
Bifoga minst 3 referenser där minst 2 stycken är tidigare chefer/ lärare. Referens från tidigare lärare eller skola är meriterande



Extra meriterande:
Ett filmklipp på 1-3 minuter där du presenterar dig själv.



Vår ansökningsprocess:
Finner vi din skriftliga ansökan intressant kommer du få ett formulär att fylla i där du svarar på ett fåtal frågor.



Därefter tas en första kontakt via ett teamsmöte följt av en fysisk intervju.



Varmt välkommen med din ansökan!",Besöksbokare/Kundbokare
"Vill du leva det livet du önskar och ha ett arbete som möjliggör att du själv bestämmer över din lön?
Vill du ha möjligheten att kunna arbeta digitalt över hela hela världen eller kanske egentligen bara hemifrån?
Vill du vara en framgångsrik mötesbokare som vid fast anställning kan börja bestämma dina egna arbetstider?
Då har du chansen att tillhöra Troffeagruppens team som vi påbörjar att bygga upp under 2022. Du får möjligheten att vara med när ett nytt företag byggs upp från grunden tillsammans med en stark ledning med stora mål och som tillsammans har över 50 års erfarenhet av branschen. Utvecklingsmöjligheterna kommer vara stora för dem som visar framfötterna.
Du ska älska sälj och/ eller kundrelationer och gör allt som krävs för att nå dina och företagets uppsatta mål. Du ska ha ett tydligt varför och varje dag planera för att nå dina delmål. Att studera sälj och mötesbokning ingår i dina arbetsuppgifter för att du ska kunna utvecklas inom ditt arbete. 
Självklart får du även daglig coachning för att ge dig dem bästa verktygen för att lyckas.
Vi söker efter 4 mötesbokare som brinner för personlig utveckling och därmed är prestigelösa gällande vägen dit. Det är alltid som tyngst i början och du behöver ha ett driv som heter duga för att lyckas. Arbetet går ut på att ringa kalla samtal och för att lyckas krävs det att du har disciplin och tålamod att ringa minst 150 samtal om dagen. Långt i från alla svarar därför är det viktigt att hålla tempo och kunna ringa så många som möjligt för att få chansen att prata med fler. Ju fler du pratar med - desto fler bokar du.
Som mötesbokare säljer du ingenting utan mötet du bokar in går ut på att kunden skall få veta mer om våra samarbetspartners tjänster och produkter. När mötet därefter sker är det inte du som genomför det - det gör våra partners.
Du behöver inte redan vara en stjärna på mötesbokning och försäljning för att lyckas med arbetet men du måste ha en vilja av stål och bestämt dig för att ge allt. Vi har lång erfarenhet av att lära upp nya förmågor och kan lära dig allt vi kan - men du behöver själv bidra med glöden!
Du ska vara social, lösningsfokuserad, påhittig, pratglad, positiv samt bestämd att ditt och företagets gemensamma mål ska nås. Du är ingen som ger upp enkelt.
Lön: 100% provisionsbaserad lön. Betalt per genomfört möte mellan 500-2000 kronor för varje genomfört möte beroende på vilket uppdrag du själv väljer att sitta på.
Obs! Det innebär att du inte har någon lön per timme eller fast månadslön utan att du får betalt för alla de genomförda möten du bokar in. Ju mer du bokar in desto mer pengar tjänar du.
Förmåner under provanställningen
Samtliga anställda får 1 styck 30 minuters massage via Helsokliniken per månad
samt 15% på Helsoklinikens hela sortiment https://helsokliniken.bokadirekt.se/
Subventionerad personlig tränare (450 kr per timme)
1 extra ledig dag per månad, så kallad återhämtningsdag för att stärka möjligheten till extra återhämtning
Möjlighet till att avsluta dagen tidigare (från 15.00) vid uppnådda mål (från månad 3)
Extra bonus



Förmåner vid fast anställning
Samtliga anställda får 1 styck 60 minuters massage via Helsokliniken per månad
samt 20% på Helsoklinikens hela sortiment https://helsokliniken.bokadirekt.se/
Subventionerad personlig tränare & kostrådgivare (450 kronor per timme)
Totalt 10 stycken så kallade återhämtningsdagar per år för att stärka möjligheten till extra återhämtning
Möjlighet till att sluta tidigare (från klockan 15.00) vid uppnådda mål
Extra bonus
Resor utomlands
Möjlighet till 100% distansarbete



Vi har inte ännu kollektivavtal men inväntar dialog med fackförbundet Unionen vilket vi hoppas skall bli klart inom kort.
Stämmer detta in på dig? Sök då dig till oss genom att skicka in följande:
Ditt CV
Ett personligt brev där du berättar varför du söker arbetet hos oss.
Bifoga minst 3 referenser där minst 2 stycken är tidigare chefer/ lärare. Referens från tidigare lärare eller skola är meriterande.



Extra meriterande:
Ett filmklipp på 1-3 minuter där du presenterar dig själv.





Vår ansökningsprocess:
Finner vi din skriftliga ansökan intressant kommer du få ett formulär att fylla i där du svarar på ett fåtal frågor.



Därefter tas en första kontakt via ett teamsmöte följt av en fysisk intervju.



Varmt välkommen med din ansökan!",Besöksbokare/Kundbokare
Vi på råby grillen jobbar med utländsk mat främst mat från mellan östern. Vi söker en kock som har erfarenhet inom resturang och som tidigare jobbat med denna typ av mat. Vi vill också att du ska kunna hantera att vi har mellan 200-300 kunder per dag som du ska kunna servera maträtter till.,Specialkock
"Medlemsrådgivare (Heltidstjänst)
Klubbmilon står för hållbar träning. Nu söker vi personal till klubbmilon i Limhamn som öppnar februari 2022. Ta chansen att bli en del av vårt härliga team!
Vi söker en medlemsrådgivare till en 100% tillsvidareanställning. Som Medlemsrådgivare spelar du en viktig roll i klubbmilons organisation och har ett stort ansvar för att nya medlemmar kommer igång med vår version av hållbar träning. Du är spjutspetsen i det lokala klubbmilonteamet. Du är ansiktet utåt för anläggningen och klubbmilon som varumärke och en ambassadör som sätter kulturen på hur man beter sig på klubben. Som du uppträder kommer medlemmarna i sin tur uppträda mot varandra. Ett “hej och hej då” med ett leende från dig ser vi som självklart!
Du har ett intresse av hälsa, friskvård och kommunikation och har en vilja och nyfikenhet av att lära dig mer om klubbmilons filosofi för att kunna vägleda på ett förtroendegivande och tryggt sätt. Du är med på medlemmarnas resa, hela vägen. Från första kontakt, troligtvis via telefon eller mejl, med mötesbokning, till att hålla i rundvisning och vägledning kring klubbmilons metod för den nya blivande medlemmen och till att komma till avslut med en ny inskriven medlem. Utöver detta ingår olika arbetsuppgifter på anläggningen och du får gedigen upplärning innan du tillträder för att komma in i de olika arbetsuppgifterna.
Du ska trivas i mötet med andra människor och fungera i att samarbeta i grupp. Punktlighet och att kunna hantera administrativa delar i arbetet är viktigt. Din arbetsplats är initialt i Limhamn, men kan komma att innefatta övriga anläggningar i framtiden.
Krav:
B-körkort.
Grundläggande kunskaper i matematik behövs, liksom att kunna prata och förstå engelska.
Tidigare arbete inom försäljning och friskvård är en merit men inget krav.
Tjänstens omfattning 100%.





Vi ser fram mot din ansökan!",Personlig tränare/PT
"Vi är ett taxiföretag som är etablerade i Stockholm, Växjö och Göteborg. Våra mål är att utföra uppdragen till 100% för att ge kunden den bästa service.
Vi söker nu 2 heltid/deltid förare i Stockholm med servicekänsla och en hög arbetsmoral.
Det är viktigt att du är positiv och förstående, med tanke på att det är olika sorters människor som du kör. I Arbetet ingår även skötsel av bilen.
Vi söker dig som har taxilegitimation, är flexibel och lösningsorienterad och vi ser gärna att du tidigare arbetat inom något serviceyrke. God svenska är en förutsättning samt att du bemöter stressiga situationer med lugn och trygghet.
Tjänsten har varierande arbetstider och startar enligt överenskommelse. Gärna så snabbt som möjligt.
Vänligen skicka in ditt CV till det angivet mejl för att du ska kunna söka tjänsten då kontaktar vi dig efter vi har kollat din profil.",Taxiförare/Taxichaufför
"Vi på Jonsereds Livs söker kvalificerad personal för vår butik. Du ska ha erfarenhet av att arbeta i butik, du ska hålla tider, vara flexibel och stresstålig. Dina arbetsuppgifter är att hantera kassan, sköta våra olika posttjänster. Svara i telefon, hålla rent och hjälpa kunderna.
Kundnöjdhet är vår första prioritet, vi söker därför främst dig som trivs i butiksmiljö och kan erbjuda kunderna en naturligt trevlig bemötande.
Vi önskar CV & personlig brev.
Öppen för alla
Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",Butiksansvarig
"Nu söker vi en driven och serviceinriktad medarbetare till Ångtvättbilen Kristianstad. Vi säljer och producerar golvvårdstjänster såsom mattvätt, golvslipningar, renoveringar och underhåll av alla typer av golv. I din roll arbetar du bland annat med att utföra, planera och boka in våra tjänster. Du kommer börja med golvvård och när du är varm i kläderna ser vi att du tar större ansvar för verksamheten och kundvård. En viktig del i arbetet är att alltid ge kunden ett professionellt bemötande samt att säkerställa förstklassig service.
Mer information om företaget ges vid kontakt och www.angtvattbilen.se
Din profil:
Du är pålitlig och effektiv i ditt arbete, kan ta egna initiativ och du har ett flexibelt arbetssätt. Vi ser även att du brinner för att ge service och arbetar alltid med viljan att överträffa kundens förväntningar. Vidare är du en ordningsam, social person och en lagspelare som har lätt för att samarbeta med andra. Din positiva attityd smittar lätt av sig och du kan arbeta med kroppen. Krav är också att du behärskar svenska språket i tal och skrift, har datakunskaper och innehar minst B-körkort. God fysik är en fördel då vi hanterar lyft av maskiner i vårt dagliga arbete.
Det är viktigt att du är en problemlösare, då du i tjänsten kommer att möta många olika typer av situationer. Du är lyhörd och vet vad du behöver göra för att skapa en personlig relation med kunden och tillgodose deras behov. Ditt mål är att kunna utföra våra tjänster i en självständig roll.
Jobbet innebär en del helg- och kvällsarbete.
I denna rekrytering kommer stor vikt att läggas vid din personlighet.
Öppen för alla
Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",Golvslipare/trä
"Tech lead – ansök snabbt utan CV!

Om rollen
Söker du mer utmaningar i vardagen och ett jobb som utvecklar dig? Nu söker vi en Tech lead till vår spännande resa där grunden i företaget är den digitala plattformen, som du får ansvar för att utveckla vidare. Har du minst 5 års erfarenhet inom CMS, back-end i .NET och gränssnittsprogrammering, med starkt driv för att planera och genomföra lyckade projekt i ett mindre team? Då kan du vara den vi söker för just denna roll!

Din arbetsmiljö
Hos oss på Bovision arbetar du i en kreativ miljö där det är högt till taket. Vi är med i företagets alla delar och arbetar även med uppgifter som inte ligger på det egna bordet, helt enkelt – inga fördomar. Vi arbetar processorienterat och därmed är vi alltid i lärande – inget är omöjligt att lösa. Vi har alla en eller några spetskompetenser men, viktigast, ett brett mind set och tvärfunktionellt tänkande.

På Bovision får du:
Möjligheten att vara del i ett snabbväxande bolag som ska förändra en hel bransch
Arbeta med drivna, kompetenta kollegor med höga ambitioner
En arbetsplats där möjligheten för din egen utveckling bara sätts av dig själv!


Dina arbetsuppgifter
I din roll som Tech lead i Bovisions team får du möjlighet att arbeta med allt från att utveckla vårt Tech-team till att själv bidra med egen programmering. Det innebär att du leder den tekniska produktionen med kvalitét- och leveransansvar. Du tar fram förslag på kravspecifikationer, tekniska vägval, samt att du kommer arbetsleda och handleda kollegor. Du löser snabbt och effektivt de tekniska problem som du ser behöver lösas. Har du ett öga för design och sinne för affärer kommer det göra dig till en nyckelperson i vår fortsatta tillväxtresa.

Urval av arbetsuppgifter som du kommer få:
•          Mjukvaruutveckling stor del av tiden.
•          Granskar, testar och gör releaser.
•          Dokumenterar release notes och utvecklingsguider för kollegor.

•          Utveckla vidare våra produkter efter kundönskemål och innovativa idéer.
•          Planerar och handleder kollegor.
•          Kravställer tillsammans med VD.

Vi tror att du har följande erfarenheter:
•         Goda kunskaper inom HTML/JS, React.js, VUE eller likn. – 5 år
•         Goda kunskaper inom C#, Elastic Search, .NET  – 5 år
•         Goda kunskaper inom MS SQL Server  – 3 år
•         Goda kunskaper inom HTTP-protokoll, SSL och webbservrar  – 3 år
•         Goda kunskaper inom cache, optimering av bilder, resurser och browserkompatibilitet  – 3 år
•         Goda kunskaper inom APIer och intergration. – 5 år
•         Mycket goda kunskaper inom Git och versionshantering  – 3 år
•         Har förståelse för webstandarder och SEO för hög tillgänglighet
•         Kan ta fram förslag på nya lösningar till övriga teamet på ett pedagogiskt sätt
•         Arbetar strukturerat och följer rutiner

Vad vi erbjuder dig
Få vara med i ett tajt team och jobba i tvärfunktionella team.
Konkurrenskraftig lön och förmåner
En entreprenöriell miljö och startup, med starka ägare.


Nyfiken?
Tveka inte att söka denna utvecklande tjänst redan idag, urval sker löpande och är du rätt person får du jobbet. Skicka din ansökan utan CV redan idag. ","CIO, Chief Information Officer/IT-chef"
"Just nu söker vi på Retail24 personal för en heltidstjänst - butiksplock i dagligvaruhandeln.
Vi söker dig som har tidigare erfarenhet från dagligvaruhandeln, eller dig som är orädd för att prova något nytt.
Du ska brinna för serviceyrket och kunna arbeta både självgående och i ett team som håller ett högt tempo. Att arbeta som merchandiser för Retail24 kan innebära att du arbetar i flera olika butiker under en och samma dag.
Som merchandiser besöker du butiker för att hjälpa till med varuplock. Du kommer dit i uppdrag av våra kunder och kommer då endast plocka upp våra kunders varor i hyllorna, inget annat.
Ditt jobb blir att se till att vår kunds hylla i butiken är välfylld, samt ansvara för deras exponeringar och gavlar.
Vi söker dig som är positiv, utåtriktad, noggrann och har hög arbetsmoral! Du kommer arbeta under eget ansvar och för marknadsledande kunder.
Du behöver ha tillgång till bil då du kan komma att besöka flera olika butiker per dag. Du behöver också ha tillgång till en smartphone med en bra kamera då vi tar bilder på alla uppdrag vi gör i butik.
Är du rätt profil? Då kan Retail24 erbjuda dig:
Lön enligt handels avtal
Stora utvecklingsmöjligheter
Arbeta med stora kända varumärken
Självständigt arbete



Krav är följande:
Bosatt i/nära Uppsala.
Svenska flytande.
Körkort och Bil.



Välkommen med din ansökan och rekrytering kommer att ske löpande.



Retail24 har idag ca 1300 anställda, vi kan erbjuda den största och mest flexibla servicen i Norden. Vi täcker hela Sverige på veckobasis. Om det så är på toppen av ett berg, i de djupaste skogarna, så långt norrut du kan komma eller mitt i city, så är vi där! Vi erbjuder merchandising, ombyggnader, exponeringar, inventering och prisundersökningar. Vi bygger också nya butiker eller ombyggnation av befintliga. Vid peak perioder, högtider eller nylanseringar gör vi även skyltfönster i butikerna. Vi finns där kunderna behöver oss.",Butikskonsulent
"Om tjänsten
Vi arbetar på uppdrag av Sveriges stora och kända varumärken inom olika branscher. Därmed söker vi drivna säljare till något av våra tre kontor runt om i Spanien (Palma de Mallorca, Barcelona & Fuengirola). Det är viktigt att du arbetar bra i grupp samt självständigt då vi fokuserar mycket på målsättning för din personliga och yrkesmässiga utveckling. Du kommer dagligen att mätas genom kundnöjdhet och effektivitet.
Arbetsuppgifter
I rollen som säljare kommer du att generera försäljning genom att ringa upp konsumenter och hantera ärenden via telefon. Du kommer att arbeta mot den privata sektorn där tjänsten är en heltidsanställning kl. 10:00-18:00 måndag-fredag.
Förmåner
 Konkurrenskraftig lön20 dagars betald semester/år
 Möjligheten att utvecklas personligt och få en framgångsrik karriär inom arbetet.
 Betald meritgivande utbildning.
 Belöningar och roliga arbetserfarenheter
 Se mer av världen och leva i Spanien
 Friskvårdsbidrag
 Registrering av spanskt personnummer och sociala försäkringar
 Bostadshjälp
Vem är du?
Tjänsten passar dig som är redo att göra något nytt, hitta en ny vardag eller utvecklas snabbt inom försäljning. Du är positiv, målinriktad och arbetar effektivt mot uppsatta mål med hög kvalité. Den viktigaste pelaren på Nordic Operation Center är vår kultur. Vår vision är att bygga ett andra hem för vårt team där vi alltid sätter våra medarbetare i fokus.
Tidigare erfarenhet är meriterande men inget krav. Är du vårt nästa stjärnskott eller har du det som krävs för att bli det? Vi söker efter nya stjärnor men vi är också med och skapar dem från grunden!


Öppen för alla
Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",Telefonförsäljare
"Vi söker förstärkning - varierande arbetsuppgifter med flexibilitet!
Vi bedriver en modern ekologisk mjölkproduktion, med knappt 200 årskor plus rekrytering. Robotmjölkning och automatisk utfodring. På drygt 260 hk odlar vi varierande grödor som till stor del bevattnas. Arbetsuppgifterna varierar med årstiderna så klart, och är mestadels kopplade till mjölkproduktionen, vilket innebär all växtodling och mjölkdriften.
Tycker du om ett arbete som innefattar :
djur, teknik, service och underhåll, maskinkörning(även skörd), ordning och reda
Vi önskar att du:
har erfarenhet inom lantbruk antingen som djurskötare eller mekaniker, är positiv, är flexibel, har datavana, behärskar svenska och engelska så att kommunikationen fungerar felfritt.
Arbetstiderna är varierande enligt schema, även helger
Tjänsten omfattar heltid, med 6 månaders provanställning
Tillträde enligt överenskommelse
VÄLKOMMEN MED DIN ANSÖKAN!
Gå gärna in och besök oss på facebook
Bäckeby gård","Lantbrukare, blandad drift"
"
Vi finns på 3 platser i Stockholm, Gamla Stan, Hötorget och Stadshagen. Just nu arbetar hos oss 2 medarbetare per klinik men då vi växer så behövs nya duktiga och hungriga medarbetare som vill vara med oss när vi blir ännu större.



Din uppgift är att ge ett gott bemötande till alla vi möter och vara ansiktet utåt för Syster Elsa. I din roll hos oss kommer du stå i receptionen och ta betalt men också arbeta med provtagning i större delen av ditt arbete.
 Din erfarenhet
 Du ska vara utbildad undersköterska alternativt vårdbiträde, gärna med erfarenhet av liknande arbete. Du har god datorvana och är van vid serviceyrket. Goda kunskaper i det svenska språket i tal och skrift är ett krav.
 Vi ser att du som söker
 - Vill ha ett roligt arbete med mycket fart och utvecklingsmöjligheter
 - vill ta ansvar, är kreativ och vill prova på nytt
 - Gillar samarbete och vill arbeta i team
 Om du tror att du passar in på vår beskrivning och vill vara med utvecklas med oss sök tjänsterna nedan.
Övrigt
 Lön: Vi tillämpar individuell lönesättning
 Tillträdesdatum: Enligt överenskommelse
 Sista ansökningsdag: Löpande
Kontakt och ansökan till:
","Undersköterska, vård- o specialavd. o mottagning"
"Vill du arbeta i en stimulerande miljö med välkända produkter och ha möjligheten att tjäna obegränsat med pengar? Vi på Reko Marketing erbjuder allt detta och så mycket mer. Vi har lång erfarenhet inom Telemarketing och strävar hela tiden efter att utveckla oss och våra team. Vårat äldsta kontor ligger på Gran Canaria och erbjuder inte bara en fantastisk arbetsmiljö, vi har även fördelen att vara placerade på en av världens sol säkraste platser. Så inga mörka vinterkvällar eller slaskiga trottoarer utan du väntas istället möta vackra solnedgångar, långa sandstränder, vandringsleder i bergen och en öppen kultur där det sociala är i fokus.
Vårt team består redan av människor från hela Sverige i alla åldrar från 18 till 50+. Vi är väl medvetna om att personalen är det viktigaste vi har så därför jobbar vi mycket med teamkänsla.
Vi söker dig som är:
► Utåtriktad och har hög social kompetens
► En person som söker nya utmaningar
► Vinnarskalle
► Målmedveten och driven
► Resultatfokuserad
Hos oss behöver du inte ha någon tidigare erfarenhet av försäljning, vi jobbar med utbildning från grunden och våra rutinerade Teamleaders och Coacher finns vid din sida hela vägen.
Har du erfarenhet av telemarketing och vill fortsätta utvecklas som säljare så är detta en plats för dig, vi jobbar hela tiden framåt och med utveckling på alla plan. Det är dina egna ambitioner som bestämmer hur långt du vill gå, vi kommer vara med och stötta och hjälpa dig framåt.
Vill du bli en i vårt vinnande team, vill du utveckla dig själv, söker du nya utmaningar eller vill bygga på dina kunskaper inom sälj? Skriv några rader om vem du är och vi kan utvecklas tillsammans.
",Telefonförsäljare
"Hagvidson Ylle i Lerum är en förskola med tre avdelningar och ca 45 barn. På vår förskola arbetar både förskollärare och barnskötare som brinner för sitt yrke.
Vi utgår från våra ledord; TRYGGHET, DELAKTIGHET och GLÄDJE och alla beslut fattas med barnets bästa i fokus. Som förskollärare hos oss ansvarar du för att tillsammans med dina kollegor planera, genomföra, dokumentera och utvärdera det pedagogiska arbetet.
Vi är en liten förskola där möjligheten att utvecklas och påverka är stor. Vi ser vikten av att alla i arbetslaget är delaktiga och arbetar som ett team.
Vi arbetar utifrån en pedagogisk vision om en hållbar framtid där livsstil, hälsa och miljö bildar en helhet.
Vi strävar efter att bli Grön Flagg certifierade, vilket våra övriga förskolor är. Vi arbetar med teman som sträcker sig över ett helt år och som hela förskolan arbetar gemensamt med. Förskolan har en egen kock som lagar all mat från grunden.
Vi söker dig som vill arbeta i en verksamhet som:
·      Prioriterar utevistelse, såväl på gården som i lekparker och skog
·      Utgår från projektarbete i små grupper
·      Har fokus på barns delaktighet och inflytande
·      Vilar på samarbete och gemensamt lärande
·      Bygger på nära relationer till barn såväl som vårdnadshavare och kollegor
Vi vill att du:
Är utbildad förskollärare, helst med några års arbetslivserfarenhet, stor vikt läggs på personlig lämplighet.
Kan bidra till en bra arbetsmiljö och ett gott klimat på arbetsplatsen.
Med läroplanen som grund bidrar med tankar och idéer för att utveckla verksamheten tillsammans med oss.
HAGVIDSON
Har en vision och affärsidé med personalen i centrum.
Har en närvarande och engagerad rektor som leder det pedagogiska arbetet på förskolan.
Har en verksamhet som gör skillnad och som du kan var stolt över.
Skapar utveckling genom samverkan, öppenhet och nytänkande.
Erbjuder arbetskläder, friskvårdsbidrag och möjlighet till kompetensutveckling
Är kollektivanslutna
Tjänsten tillsätts i perioden 1 april-1 augusti ´22.
Övrigt
Enligt skollagen krävs utdrag ur polisens belastningsregister innan anställning inom förskola. Blankett för att beställa utdraget finns på https://polisen.se/tjanster-tillstand/blanketter/.
Inför rekryteringsarbetet har vi tagit ställning till rekryteringskanaler och marknadsföring. Vi undanber oss kontakt med media säljare, rekryteringssajter och liknande.
Ansökan
vi vill att du bifogar förskollärarlegitimation, cv och personligt brev.
Intervjuer kommer att ske löpande och tjänsten kan komma att tillsättas innan ansökningstiden går ut.
Tillträde enligt överenskommelse.",Lärare i förskola/Förskollärare
"We are looking for service-oriented people with responsibility and who want to work in the Stockholm area extra on hours that can lead to more depending on how much you want to work.


If you are a good candidate for the job, we will contact you for further information.",Städare/Lokalvårdare
"Eftersom vår nuvarande smågrisskötare valt att gå vidare till ett annat jobb, så söker vi hennes efterträdare. Vårt företag ligger öster om Trelleborg. Produktionen omfattar 400 suggor i delvis integrerad produktion, samt växtodling på 400 ha.

Arbetsuppgifter:
Vi söker dig som har erfarenhet av och ett genuint intresse för gris.

Kvalifikationer:
B-körkort är ett krav.
Vi ser helst att du har tidigare erfarenheter av grisskötsel och/eller en relevant lantbruksutbildning.
Kommunikationen på arbetsplatsen är viktig. Svenska är inget krav om kommunikationen annars kan ske på engelska.
Du är hjälpsam och inte rädd för tungt arbete.
Noggrannhet och punktlighet värderar vi högt.
Vi ser gärna mångfald på vår arbetsplats.

Vill du vara en del av vårat team som består av 6 personer, så är du välkommen med din ansökan här:
https://www.recruto.se/apps/modal-window/new-candidate/jobid/43563","Djurskötare, gris"
"Jag är en 50-årig kvinna i rullstol sedan 7 år som har hjälp av assistent 7-24 varje dag. Jag bedriver min egen assistans och har behov av 1-3 deltidsassistenter. De flesta passen är förlagda i Lund men vissa är utanför Harlösa och därför behöver du körkort och bil. Du ska vara mina händer och göra det jag skulle gjort både med det kroppsliga och i hemmet. Dessutom behöver jag hjälp med min hund. Vid enstaka tillfällen behöver jag hjälp några dagar i streck. Jag jobbar halvtid och är rätt aktiv på min fritid.

Jag söker en glad och positiv person som har förmåga att ta initiativ samt tycker om att ta ansvar. Sysselsättningsgraderna kommer att variera, så ange därför i din ansökan hur du mycket du är intresserad av att jobba. Det ingår helgjobb. Du jobbar som ensam assistent. Längden på passen varierar, de flesta är mellan 7-17 och några mellan 7-24, 17-24. Du ska ha lätt för att lära och att vara noggrann och att vara ansvarsfull är en självklarhet för dig.

Önskar att du skall vara rökfri, ha körkort och tillgång till bil. Söker anställa kvinnliga assistenter.

OBS! jag vill ha hjälp av en person som är vaccinerad mot covid,

Jag tillämpar individuell lönesättning och är ansluten till kollektivavtal.",Personlig assistent
